38-composite-ui-multibackend pty  Sky.Tui (argv-dispatched multibackend); both backends drive the pty smoke without panic

# ── none: genuinely incomparable — Rust build only ───────────────────────────
# Two of these are FINDINGS (a Rust-side gap / an upstream Go bug), parked `none`
# with a precise reason + a flip-back condition, NOT silently dropped:
00-standard-libs        none      Rust builds + runs it fine, but the GO backend can't build it right now — upstream v0.16.29 Go codegen emits `undefined: T1` at main.go (FINDING #2, upstream bug, not Rust). Flip back to `stdout` when upstream fixes T1. (memory: upstream-v0-16-29-go-t1-regression)
07-todo-cli             none      its banner is emitted via Log.info — Go prints a `TIMESTAMP INFO message` structured line, Rust prints just `message` (a Std.Log prefix-parity gap, FINDING #1) AND the timestamp is non-deterministic. Flip back to `stdout` when Rust's Log.* matches Go's structured format.
skyshop-rs              none      examples/rust/skyshop-rs — Rust-FFI app (firestore/stripe/firebase wrapper crates, target=rust); does NOT build on Go — nothing to compare. run-sweep boots it on Rust alone.
35-composite-generics   none      non-deterministic cli: prints a Time.now `Generated at` timestamp AND Dict.toList iteration order differs between backends
29-webview-threejs-spike none     Webview — opens a window, no comparable output
31-webview-stopwatch-ui none      Webview/Tui — window, no comparable output
39-hub-demo             none      two-app hub demo — no single src/Main.sky entry point (absent from build_set)
rust                    none      fork-local FFI example subtree — classified per build_set member (skyshop-rs above), not as a single example
02-go-stdlib            none      Go-FFI — does not build on --target rust (nothing to compare)
03-tea-external         none      Go-FFI — does not build on --target rust
05-mux-server           none      Go-FFI server — does not build on --target rust
08-notes-app            none      Go-FFI server (Sky.Http.Server) — does not build on --target rust
11-fyne-stopwatch       none      Go-FFI Fyne GUI — does not build on --target rust
13-skyshop              none      Go-FFI Sky.Live — does not build on --target rust
